# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08097e-07 to 53.7839 h/Mpc,
# number of wavenumbers equal to 6856
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       2.333827397952e-05       1.989349550119e+07       1.989349319316e+07       2.645476062721e+07       0.000000000000e+00       1.989531339241e+07       6.161299458973e+06 
       2.398270184190e-05       1.989348951432e+07       1.989348707714e+07       2.645084415428e+07       0.000000000000e+00       1.989530511726e+07       6.161297362304e+06 
       2.462728824713e-05       1.989348336295e+07       1.989348079307e+07       2.644682056321e+07       0.000000000000e+00       1.989529661469e+07       6.161295208050e+06 
       2.527203753324e-05       1.989347704691e+07       1.989347434079e+07       2.644268979224e+07       0.000000000000e+00       1.989528788449e+07       6.161292996158e+06 
       2.591695404181e-05       1.989347056605e+07       1.989346772014e+07       2.643845177800e+07       0.000000000000e+00       1.989527892644e+07       6.161290726574e+06 
       2.656204211817e-05       1.989346392020e+07       1.989346093095e+07       2.643410645543e+07       0.000000000000e+00       1.989526974030e+07       6.161288399243e+06 
       2.720730611138e-05       1.989345710920e+07       1.989345397304e+07       2.642965375782e+07       0.000000000000e+00       1.989526032584e+07       6.161286014108e+06 
       2.785275037442e-05       1.989345013286e+07       1.989344684625e+07       2.642509361681e+07       0.000000000000e+00       1.989525068282e+07       6.161283571111e+06 
       2.849837926424e-05       1.989344299102e+07       1.989343955038e+07       2.642042596240e+07       0.000000000000e+00       1.989524081098e+07       6.161281070193e+06 
       2.914419714189e-05       1.989343568348e+07       1.989343208526e+07       2.641565072290e+07       0.000000000000e+00       1.989523071008e+07       6.161278511291e+06 
       2.979020837257e-05       1.989342821007e+07       1.989342445070e+07       2.641076782499e+07       0.000000000000e+00       1.989522037986e+07       6.161275894343e+06 
       3.043641732579e-05       1.989342057060e+07       1.989341664649e+07       2.640577719369e+07       0.000000000000e+00       1.989520982004e+07       6.161273219285e+06 
       3.108282837542e-05       1.989341276486e+07       1.989340867245e+07       2.640067875236e+07       0.000000000000e+00       1.989519903035e+07       6.161270486052e+06 
       3.172944589978e-05       1.989340479266e+07       1.989340052837e+07       2.639547242271e+07       0.000000000000e+00       1.989518801052e+07       6.161267694577e+06 
