# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08097e-07 to 53.7894 h/Mpc,
# number of wavenumbers equal to 6855
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       4.800660230579e-05       1.989326238019e+07       1.989325263188e+07       2.622973965862e+07       0.000000000000e+00       1.988940483235e+07       6.161152767284e+06 
       4.866058632667e-05       1.989325001053e+07       1.989323999539e+07       2.622168442515e+07       0.000000000000e+00       1.988938793831e+07       6.161148439496e+06 
       4.931489774354e-05       1.989323746755e+07       1.989322718186e+07       2.621351840960e+07       0.000000000000e+00       1.988937080743e+07       6.161144051180e+06 
       4.996954110999e-05       1.989322475092e+07       1.989321419096e+07       2.620524148700e+07       0.000000000000e+00       1.988935343927e+07       6.161139602228e+06 
       5.062452098707e-05       1.989321186033e+07       1.989320102236e+07       2.619685353075e+07       0.000000000000e+00       1.988933583338e+07       6.161135092529e+06 
       5.127984194334e-05       1.989319879542e+07       1.989318767571e+07       2.618835441258e+07       0.000000000000e+00       1.988931798929e+07       6.161130521972e+06 
       5.193550855502e-05       1.989318555587e+07       1.989317415068e+07       2.617974400258e+07       0.000000000000e+00       1.988929990653e+07       6.161125890442e+06 
       5.259152540609e-05       1.989317214132e+07       1.989316044691e+07       2.617102216916e+07       0.000000000000e+00       1.988928158464e+07       6.161121197823e+06 
       5.324789708837e-05       1.989315855143e+07       1.989314656405e+07       2.616218877910e+07       0.000000000000e+00       1.988926302312e+07       6.161116444000e+06 
       5.390462820166e-05       1.989314478585e+07       1.989313250173e+07       2.615324369751e+07       0.000000000000e+00       1.988924422149e+07       6.161111628853e+06 
       5.456172335380e-05       1.989313084421e+07       1.989311825959e+07       2.614418678785e+07       0.000000000000e+00       1.988922517926e+07       6.161106752263e+06 
       5.521918716082e-05       1.989311672616e+07       1.989310383726e+07       2.613501791193e+07       0.000000000000e+00       1.988920589592e+07       6.161101814106e+06 
       5.587702424705e-05       1.989310243133e+07       1.989308923437e+07       2.612573692990e+07       0.000000000000e+00       1.988918637097e+07       6.161096814262e+06 
       5.653523924518e-05       1.989308795934e+07       1.989307445053e+07       2.611634370025e+07       0.000000000000e+00       1.988916660388e+07       6.161091752603e+06 
       5.719383679641e-05       1.989307330981e+07       1.989305948537e+07       2.610683807983e+07       0.000000000000e+00       1.988914659415e+07       6.161086629004e+06 
       5.785282155055e-05       1.989305848237e+07       1.989304433849e+07       2.609721992385e+07       0.000000000000e+00       1.988912634123e+07       6.161081443336e+06 
       5.851219816610e-05       1.989304347663e+07       1.989302900949e+07       2.608748908583e+07       0.000000000000e+00       1.988910584460e+07       6.161076195471e+06 
       5.917197131041e-05       1.989302829218e+07       1.989301349799e+07       2.607764541768e+07       0.000000000000e+00       1.988908510372e+07       6.161070885275e+06 
       5.983214565975e-05       1.989301292865e+07       1.989299780357e+07       2.606768876963e+07       0.000000000000e+00       1.988906411802e+07       6.161065512616e+06 
       6.049272589940e-05       1.989299738562e+07       1.989298192582e+07       2.605761899029e+07       0.000000000000e+00       1.988904288697e+07       6.161060077360e+06 
       6.115371672384e-05       1.989298166268e+07       1.989296586433e+07       2.604743592658e+07       0.000000000000e+00       1.988902141000e+07       6.161054579370e+06 
       6.181512283676e-05       1.989296575943e+07       1.989294961868e+07       2.603713942382e+07       0.000000000000e+00       1.988899968653e+07       6.161049018507e+06 
       6.247694895125e-05       1.989294967545e+07       1.989293318845e+07       2.602672932564e+07       0.000000000000e+00       1.988897771599e+07       6.161043394633e+06 
